time,RRP
1515362400,96.55
1515364200,96.67
1515366000,91.81
1515367800,96.74
1515369600,101.27
1515371400,105.22
1515373200,112.99
1515375000,110.19
1515376800,106.55
1515378600,109.59
1515380400,109.68
1515382200,107.62
1515384000,102.82
1515385800,94.15
1515387600,100.93
1515389400,96.87
1515391200,103.02
1515393000,101.82
1515394800,102.19
1515396600,91.42
1515398400,91.94
1515400200,90.92
1515402000,88.92
1515403800,88.33
1515405600,89.94
1515407400,91.32
1515409200,89.65
1515411000,89.31
1515412800,85.67
1515414600,87.9
1515416400,86.26
1515418200,89.07
1515420000,89.07
1515421800,87.77
1515423600,84.47
1515425400,82.26
1515427200,81.89
1515429000,75.39
1515430800,73.98
1515432600,62.96
1515434400,61.7
1515436200,60.37
1515438000,61.57
1515439800,59.92
1515441600,60.57
1515443400,70.94
1515445200,81.29
1515447000,85.13
1515448800,84.29
1515450600,77.39
1515452400,76.84
1515454200,79.94
1515456000,79.22
1515457800,82.54
1515459600,92.8
1515461400,92.45
1515463200,90.97
1515465000,88.28
1515466800,88.17
1515468600,82.43
1515470400,66.89
1515472200,71.78
1515474000,72.5
1515475800,72.36
1515477600,81.53
1515479400,87.19
1515481200,112.92
1515483000,98.64
1515484800,96.06
1515486600,70.54
1515488400,74.17
1515490200,68.35
1515492000,70.31
1515493800,78.54
1515495600,82.55
1515497400,76.2
1515499200,66.59
1515501000,69.49
1515502800,66.02
1515504600,85.25
1515506400,78.18
1515508200,60.24
1515510000,57.69
1515511800,53.04
1515513600,49.37
1515515400,50.63
1515517200,49.03
1515519000,51.83
1515520800,47.6
1515522600,51.3
1515524400,47.06
1515526200,53.2
1515528000,54.79
1515529800,62.29
1515531600,84.42
1515533400,86.12
1515535200,74.58
1515537000,83.05
1515538800,88.15
1515540600,90.7
1515542400,92.44
1515544200,94.61
1515546000,99.49
1515547800,98.66
1515549600,101.55
1515551400,99.49
1515553200,91.78
1515555000,89.64
1515556800,88.3
1515558600,88.22
1515560400,97.51
1515562200,85.59
1515564000,82.57
1515565800,85.59
1515567600,90.23
1515569400,86.67
1515571200,102.57
1515573000,109.11
1515574800,111.44
1515576600,93.81
1515578400,102.83
1515580200,119.79
1515582000,81.77
1515583800,65.48
1515585600,64.2
1515587400,69.85
1515589200,68.35
1515591000,89.65
1515592800,91.97
1515594600,80.16
1515596400,63.13
1515598200,59.42
1515600000,65.4
1515601800,60.22
1515603600,57.0
1515605400,58.38
1515607200,55.05
1515609000,59.25
1515610800,53.72
1515612600,55.4
1515614400,62.62
1515616200,64.79
1515618000,71.17
1515619800,61.78
1515621600,69.42
1515623400,72.85
1515625200,76.46
1515627000,78.63
1515628800,87.07
1515630600,78.41
1515632400,82.89
1515634200,90.99
1515636000,96.6
1515637800,101.71
1515639600,97.49
1515641400,94.42
1515643200,110.1
1515645000,113.12
1515646800,106.53
1515648600,112.69
1515650400,184.26
1515652200,118.68
1515654000,124.73
1515655800,119.36
1515657600,117.07
1515659400,104.48
1515661200,113.05
1515663000,114.5
1515664800,108.31
1515666600,109.83
1515668400,109.41
1515670200,108.18
1515672000,108.44
1515673800,117.44
1515675600,103.26
1515677400,110.77
1515679200,118.99
1515681000,101.58
1515682800,88.47
1515684600,120.76
1515686400,105.44
1515688200,97.45
1515690000,93.04
1515691800,87.31
1515693600,82.31
1515695400,76.45
1515697200,76.7
1515699000,80.09
1515700800,64.95
1515702600,65.92
1515704400,78.85
1515706200,78.27
1515708000,78.39
1515709800,78.67
1515711600,83.62
1515713400,87.3
1515715200,89.05
1515717000,95.55
1515718800,100.59
1515720600,92.11
1515722400,89.47
1515724200,96.02
1515726000,95.35
1515727800,95.8
1515729600,104.31
1515731400,105.3
1515733200,99.25
1515735000,97.14
1515736800,101.09
1515738600,94.77
1515740400,92.78
1515742200,92.52
1515744000,88.09
1515745800,90.54
1515747600,97.85
1515749400,95.24
1515751200,97.52
1515753000,95.1
1515754800,98.14
1515756600,104.44
1515758400,104.87
1515760200,92.41
1515762000,90.25
1515763800,95.2
1515765600,100.45
1515767400,92.36
1515769200,86.24
1515771000,89.97
1515772800,87.44
1515774600,76.1
1515776400,72.46
1515778200,62.75
1515780000,60.99
1515781800,55.46
1515783600,56.09
1515785400,64.65
1515787200,69.17
1515789000,69.01
1515790800,134.62
1515792600,75.61
1515794400,71.2
1515796200,76.99
1515798000,79.77
1515799800,80.53
1515801600,80.54
1515803400,83.49
1515805200,85.95
1515807000,79.93
1515808800,71.69
1515810600,66.16
1515812400,66.65
1515814200,63.75
1515816000,50.77
1515817800,46.29
1515819600,53.17
1515821400,58.76
1515823200,56.47
1515825000,48.58
1515826800,57.56
1515828600,55.36
1515830400,64.5
1515832200,59.95
1515834000,56.38
1515835800,64.95
1515837600,70.26
1515839400,75.29
1515841200,98.35
1515843000,116.86
1515844800,74.49
1515846600,71.21
1515848400,70.56
1515850200,101.77
1515852000,124.77
1515853800,95.8
1515855600,75.92
1515857400,61.74
1515859200,67.77
1515861000,70.68
1515862800,69.68
1515864600,70.45
1515866400,74.86
1515868200,66.1
1515870000,64.84
1515871800,66.01
1515873600,65.69
1515875400,61.33
1515877200,78.13
