time,kW
1514822100,-0.3378505351515811
1514822400,-0.439394432321364
1514822700,-0.3734373374432021
1514823000,-0.288798032517262
1514823300,-0.362901104231292
1514823600,-0.35456397077601404
1514823900,-0.3798025186061329
1514824200,-0.346942960488499
1514824500,-0.317305775395979
1514824800,-0.31136161484833097
1514825100,-0.384464644221986
1514825400,-0.35581907336692714
1514825700,-0.3615352251783449
1514826000,-0.3190413940471719
1514826300,-0.314578625417014
1514826600,-0.3244204085581439
1514826900,-0.34189290738910716
1514827200,-0.3589703613418388
1514827500,-0.39668267710344196
1514827800,-0.39503989357959
1514828100,-0.5403919710658721
1514828400,-0.404861755012636
1514828700,-0.382320972535988
1514829000,-0.451130765630662
1514829300,-0.44078191410784207
1514829600,-0.39614822622317275
1514829900,-0.365757341437581
1514830200,-0.397679111705365
1514830500,-0.5531636649045851
1514830800,-0.9159857881635508
1514831100,-0.9198838631594021
1514831400,-0.9362310404502663
1514831700,-1.1061130211399712
1514832000,-1.917542275196356
1514832300,-2.6593692751460725
1514832600,-2.845795492158692
1514832900,-3.3238321476431247
1514833200,-4.059322370734938
1514833500,-5.26023167591844
1514833800,-6.687464026881432
1514834100,-8.249398041133745
1514834400,-9.693645558436353
1514834700,-11.092453323429773
1514835000,-13.470201783443937
1514835300,-16.08139075269614
1514835600,-19.489096880492397
1514835900,-22.970242625180553
1514836200,-26.052022409647996
1514836500,-30.075711840626298
1514836800,-34.91622883815801
1514837100,-39.753620999816114
1514837400,-45.611418833051204
1514837700,-52.34260788912511
1514838000,-59.07906663562909
1514838300,-67.34243833036497
1514838600,-75.97368927915498
1514838900,-85.30295815143197
1514839200,-94.03022487457902
1514839500,-103.907018078009
1514839800,-112.58723614976797
1514840100,-123.343599470385
1514840400,-133.009054941177
1514840700,-143.84496712557888
1514841000,-151.34479346586195
1514841300,-162.1362691400839
1514841600,-173.798213187394
1514841900,-181.73100245600088
1514842200,-192.44975561762791
1514842500,-203.4286434621763
1514842800,-212.69433223100796
1514843100,-221.540825248978
1514843400,-231.25429137579712
1514843700,-240.51781000848032
1514844000,-248.29693776842325
1514844300,-258.32065163980377
1514844600,-264.87569746706384
1514844900,-270.48890319033904
1514845200,-282.052717909633
1514845500,-296.02622305135196
1514845800,-306.1377454310688
1514846100,-312.51392225069304
1514846400,-321.1204535314651
1514846700,-324.32135880886585
