time,kW
1530422400,-56.06528511406396
1530422700,-51.951963522228304
1530423000,-42.90343484293248
1530423300,-32.14824807992346
1530423600,-28.620605795132093
1530423900,-23.170631324741176
1530424200,-20.244552050216495
1530424500,-18.468460124319353
1530424800,-14.6013986645105
1530425100,-10.40756544919485
1530425400,-7.430615190274043
1530425700,-5.961367024788791
1530426000,-3.2694060314233226
1530426300,-1.5725811227505029
1530426600,-1.131002480810591
1530426900,-0.639152499792959
1530427200,-0.33760000511999994
1530427500,-0.282200003266
1530427800,0.0
1530428100,0.0
1530428400,0.0
1530428700,0.0
1530429000,0.0
1530429300,0.0
1530429600,0.0
1530429900,0.0
1530430200,0.0
1530430500,0.0
1530430800,0.0
1530431100,0.0
1530431400,0.0
1530431700,0.0
1530432000,0.0
1530432300,0.0
1530432600,0.0
1530432900,0.0
1530433200,0.0
1530433500,0.0
1530433800,0.0
1530434100,0.0
1530434400,0.0
1530434700,0.0
1530435000,0.0
1530435300,0.0
1530435600,0.0
1530435900,0.0
1530436200,0.0
1530436500,0.0
1530436800,0.0
1530437100,0.0
1530437400,0.0
1530437700,0.0
1530438000,0.0
1530438300,0.0
1530438600,0.0
1530438900,0.0
1530439200,0.0
1530439500,0.0
1530439800,0.0
1530440100,0.0
1530440400,0.0
1530440700,0.0
1530441000,0.0
1530441300,0.0
1530441600,0.0
1530441900,0.0
1530442200,0.0
1530442500,0.0
1530442800,0.0
1530443100,0.0
1530443400,0.0
1530443700,0.0
1530444000,0.0
1530444300,0.0
1530444600,0.0
1530444900,0.0
1530445200,0.0
1530445500,0.0
1530445800,0.0
1530446100,0.0
1530446400,0.0
1530446700,0.0
1530447000,0.0
1530447300,0.0
1530447600,0.0
1530447900,0.0
1530448200,0.0
1530448500,0.0
1530448800,0.0
1530449100,0.0
1530449400,0.0
1530449700,0.0
1530450000,0.0
1530450300,0.0
1530450600,0.0
1530450900,0.0
1530451200,0.0
1530451500,0.0
1530451800,0.0
1530452100,0.0
1530452400,0.0
1530452700,0.0
1530453000,0.0
1530453300,0.0
1530453600,0.0
1530453900,0.0
1530454200,0.0
1530454500,0.0
1530454800,0.0
1530455100,0.0
1530455400,0.0
1530455700,0.0
1530456000,0.0
1530456300,0.0
1530456600,0.0
1530456900,0.0
1530457200,0.0
1530457500,0.0
1530457800,0.0
1530458100,0.0
1530458400,0.0
1530458700,0.0
1530459000,0.0
1530459300,0.0
1530459600,0.0
1530459900,0.0
1530460200,0.0
1530460500,0.0
1530460800,0.0
1530461100,0.0
1530461400,0.0
1530461700,0.0
1530462000,0.0
1530462300,0.0
1530462600,0.0
1530462900,0.0
1530463200,0.0
1530463500,0.0
1530463800,0.0
1530464100,0.0
1530464400,0.0
1530464700,0.0
1530465000,0.0
1530465300,0.0
1530465600,0.0
1530465900,0.0
1530466200,0.0
1530466500,0.0
1530466800,0.0
1530467100,0.0
1530467400,0.0
1530467700,0.0
1530468000,0.0
1530468300,0.0
1530468600,0.0
1530468900,0.0
1530469200,0.0
1530469500,0.0
1530469800,0.0
1530470100,0.0
1530470400,0.0
1530470700,0.0
1530471000,0.0
1530471300,0.0
1530471600,0.0
1530471900,0.0
1530472200,0.0
1530472500,0.0
1530472800,0.0
1530473100,0.0
1530473400,0.0
1530473700,0.0
1530474000,0.0
1530474300,0.0
1530474600,0.0
1530474900,0.0
1530475200,0.0
1530475500,0.0
1530475800,0.0
1530476100,0.0
1530476400,0.0
1530476700,0.0
1530477000,0.0
1530477300,0.0
1530477600,0.0
1530477900,0.0
1530478200,0.0
1530478500,0.0
1530478800,0.0
1530479100,0.0
1530479400,0.0
1530479700,0.0
1530480000,0.0
1530480300,0.0
1530480600,0.0
1530480900,-0.002291666683449989
1530481200,-0.45539152493900004
1530481500,-1.877765705342573
1530481800,-3.68708397760979
1530482100,-5.5048981034413
1530482400,-7.999632186402491
1530482700,-9.03343007302166
1530483000,-11.358665071818042
1530483300,-15.335392543868117
1530483600,-19.094767616437277
1530483900,-23.193789732464765
1530484200,-24.37786689509864
1530484500,-29.68284534014358
1530484800,-36.524618620653406
1530485100,-43.23144303722158
1530485400,-53.48766857301341
1530485700,-59.360324427354804
1530486000,-66.42270378164454
1530486300,-74.00333921453935
1530486600,-77.50765990570292
1530486900,-82.87470766327885
1530487200,-90.82484236531604
1530487500,-95.57469163551092
1530487800,-97.89955445126768
1530488100,-102.70059606133495
1530488400,-113.0537659954118
1530488700,-118.65108032805585
1530489000,-121.4260853642668
1530489300,-125.65990065773853
1530489600,-124.2867264510005
1530489900,-135.71405943040264
1530490200,-142.80274282542464
1530490500,-141.56402902162287
1530490800,-144.79295813126527
1530491100,-147.20165977137137
1530491400,-151.52254717748434
1530491700,-149.31753180724988
1530492000,-164.51988475222322
1530492300,-173.03448471109425
1530492600,-165.81874911522638
1530492900,-166.90415235453852
1530493200,-174.38065633446544
1530493500,-173.4400900307975
1530493800,-177.1868438965102
1530494100,-177.9460446132561
1530494400,-184.25427288529843
1530494700,-191.04703620117556
1530495000,-192.68110307032066
1530495300,-196.85558130252582
1530495600,-197.21392474146555
1530495900,-192.62076224718956
1530496200,-196.0393713756123
1530496500,-199.8998715138584
1530496800,-211.22417235659302
1530497100,-212.99173380321156
1530497400,-217.0824451066122
1530497700,-213.06640599929023
1530498000,-208.24485648787257
1530498300,-209.07687619726067
1530498600,-201.53227673275418
1530498900,-180.4655363119595
1530499200,-181.2613202854024
1530499500,-177.44930006817881
1530499800,-174.24262260582398
1530500100,-163.93857962341306
1530500400,-166.34661074105702
1530500700,-160.10102877272473
1530501000,-168.0672239414339
1530501300,-165.9242822738096
1530501600,-141.34901642154122
1530501900,-145.0857853260374
1530502200,-134.49680272568023
1530502500,-139.7628081332612
1530502800,-129.15064324834972
1530503100,-111.01880443765468
1530503400,-102.89277320119754
1530503700,-93.6646125099362
1530504000,-93.14502169322091
1530504300,-98.56456613217449
1530504600,-100.78839220071728
1530504900,-106.36980291687621
1530505200,-95.22161157444863
1530505500,-89.15785983333264
1530505800,-88.51626856880277
1530506100,-105.36401794369361
1530506400,-94.99076380667519
1530506700,-76.51327846948924
