time,kW
1530367200,122.70649424646953
1530367500,116.19339949447101
1530367800,118.40953320264059
1530368100,111.06149697951747
1530368400,115.07451952351735
1530368700,121.18814754372836
1530369000,119.94056843886095
1530369300,121.94254016467075
1530369600,123.22817687806749
1530369900,124.90316926236471
1530370200,121.37494703287508
1530370500,118.15590860863027
1530370800,120.3251897433492
1530371100,116.44875959035507
1530371400,118.83364950061535
1530371700,121.87907369442652
1530372000,123.6030183142449
1530372300,116.93048974614942
1530372600,118.12410509140223
1530372900,118.68226335933932
1530373200,118.50367464795083
1530373500,115.03306331178756
1530373800,116.01159078010123
1530374100,124.2630504313123
1530374400,123.56264857049693
1530374700,115.46910431440293
1530375000,109.78796229337294
1530375300,106.13911191344462
1530375600,101.3490418082805
1530375900,100.3098231410002
1530376200,105.18049623882814
1530376500,108.16305854918339
1530376800,99.45424217554084
1530377100,96.24501207857386
1530377400,102.917822240424
1530377700,102.93193567404866
1530378000,105.4671458098842
1530378300,104.48918015511599
1530378600,102.33169543910152
1530378900,97.70326113653043
1530379200,96.0707472212509
1530379500,102.38862210793182
1530379800,103.86388261184943
1530380100,103.08463114394485
1530380400,101.32672222181621
1530380700,97.86585238667155
1530381000,98.90702052049475
1530381300,101.92901116243472
1530381600,106.91588323562686
1530381900,109.31658517724465
1530382200,110.89916632477467
1530382500,110.5143921329901
1530382800,110.11423636984784
1530383100,106.14310029954227
1530383400,98.87167453302007
1530383700,103.32483540682807
1530384000,107.77858743137925
1530384300,105.21016189560042
1530384600,108.504886076231
1530384900,114.06484110741314
1530385200,115.93673031905651
1530385500,121.0871145881453
1530385800,118.82050240285369
1530386100,124.91244862529103
1530386400,121.52451004206158
1530386700,117.65879740754666
1530387000,134.70198297880074
1530387300,138.0467915977632
1530387600,129.9870742392309
1530387900,131.3296110267871
1530388200,132.252072451845
1530388500,127.67806508918174
1530388800,142.35723313177573
1530389100,144.11809536410837
1530389400,149.37764997900632
1530389700,155.04877679826834
1530390000,161.12502635400602
1530390300,174.1486556296581
1530390600,174.41466938163222
1530390900,175.61525186926045
1530391200,191.3157022048348
1530391500,188.91637246300758
1530391800,183.50450628722342
1530392100,186.2708708064531
1530392400,183.51988374182196
1530392700,182.26353011708215
1530393000,175.60462552959083
1530393300,179.77269173592367
1530393600,199.82875900279043
1530393900,197.82081763579765
1530394200,201.82137734084048
1530394500,214.6952391196379
1530394800,211.8823030021203
1530395100,216.6996709385014
1530395400,207.6647799152254
1530395700,186.0892695107659
1530396000,190.23566647910124
1530396300,185.9612392049683
1530396600,196.94404566009982
1530396900,190.32135587524547
1530397200,192.45535034661884
1530397500,189.60627479040295
1530397800,174.76802464480753
1530398100,168.87719531186997
1530398400,160.9266655833774
1530398700,177.4362645198249
1530399000,173.76332769286591
1530399300,173.74475274007122
1530399600,179.19655795973182
1530399900,170.777017657744
1530400200,174.0412573280585
1530400500,151.68629513399796
1530400800,137.2609678851954
1530401100,126.95880612941811
1530401400,123.90094914585055
1530401700,137.60282107180274
1530402000,139.17301585277562
1530402300,137.5072001877385
1530402600,139.89525205547304
1530402900,127.75493266696623
1530403200,116.19128827806128
1530403500,104.31637484685041
1530403800,99.94980409567206
1530404100,82.66820694701468
1530404400,75.83996396862621
1530404700,84.04411805994611
1530405000,85.03168819417098
1530405300,82.66253008896513
1530405600,77.7497758369532
1530405900,72.90641262873787
1530406200,62.2167554255902
1530406500,64.16909791898908
1530406800,66.1893959668443
1530407100,61.4011776024163
1530407400,54.974832130665135
1530407700,53.14448286979195
1530408000,52.43407345117633
1530408300,49.50144584097121
1530408600,47.57648888088243
1530408900,38.014802921790285
1530409200,32.82823927432396
1530409500,32.984990334263756
1530409800,31.118654479891106
1530410100,36.713122924146795
1530410400,34.55518765214864
1530410700,41.35030605703996
1530411000,44.4374332404376
1530411300,46.27369584868106
1530411600,47.412358723420965
1530411900,46.086070885988434
1530412200,43.68534888245617
1530412500,39.3507675039663
1530412800,39.357660404421466
1530413100,36.561391889424016
1530413400,32.412792680895734
1530413700,40.666706144150126
1530414000,37.3908810477105
1530414300,31.213802381257626
1530414600,38.619028597316834
1530414900,38.405495736061646
1530415200,38.49956206391559
1530415500,40.29736996139616
1530415800,38.900270015598544
1530416100,30.336142260937926
1530416400,26.712387249266374
1530416700,35.299006106288815
1530417000,35.672480979856616
1530417300,34.639150679617124
1530417600,30.25197083972586
1530417900,30.477919760275725
1530418200,34.806687023679274
1530418500,34.306649420311075
1530418800,36.15927096843119
1530419100,31.433210172029312
1530419400,36.94744000412945
1530419700,37.13931240498941
1530420000,34.80691239947339
1530420300,46.719355620577666
1530420600,46.91455806714029
1530420900,46.20113875314473
1530421200,47.7125288983912
1530421500,61.02628345390763
1530421800,73.79705242675118
1530422100,63.421587602700086
1530422400,67.31531332946813
1530422700,66.74554682871502
1530423000,78.79262397000889
1530423300,93.59823242768144
1530423600,98.30628346954266
1530423900,109.30537992293198
1530424200,123.04573626236478
1530424500,126.33282904847147
1530424800,130.56864207498108
1530425100,131.03084884309686
1530425400,134.23752212622796
1530425700,147.7838116533943
1530426000,142.6529316211259
1530426300,159.59219990762654
1530426600,174.14883686011552
1530426900,194.61038962250734
1530427200,196.58009493995633
1530427500,191.6007762893754
1530427800,200.8561943389614
1530428100,211.28018616882622
1530428400,220.21045844687416
1530428700,234.8308220867449
1530429000,237.25723473603284
1530429300,228.7366179927403
1530429600,238.12258681273542
1530429900,226.4647470038824
1530430200,226.78746807874464
1530430500,245.56154610583812
1530430800,242.3355212576747
1530431100,241.37371294136568
1530431400,254.0890647407498
1530431700,252.89585341225714
1530432000,253.3320653585845
1530432300,247.42804692403124
1530432600,234.9463037681993
1530432900,248.46747222061842
1530433200,230.8839324696288
1530433500,222.95970989977315
1530433800,230.7532876494543
1530434100,213.29781475258906
1530434400,209.4440639051359
1530434700,198.819287595068
1530435000,205.19880141550988
1530435300,208.64427387898698
1530435600,215.5979375947072
1530435900,223.72753620391651
1530436200,217.4945524772096
1530436500,223.8764653823302
1530436800,224.8984859000019
1530437100,215.15150535973635
1530437400,229.81222981064514
1530437700,223.0536104731347
1530438000,223.64680916854232
1530438300,226.15385670978637
1530438600,215.41757617773604
1530438900,216.7074219232262
1530439200,215.59367285549632
1530439500,204.55767616487168
1530439800,202.2422394750222
1530440100,216.4852528278695
1530440400,214.17663525581403
1530440700,196.48619744093008
1530441000,207.0971550009843
1530441300,193.28878983301698
1530441600,190.93633265170132
1530441900,195.74187455849093
1530442200,200.39125717113174
1530442500,191.78611440726007
1530442800,191.17596073147422
1530443100,194.79459965110004
1530443400,191.98129810264746
1530443700,198.67272816657987
1530444000,191.2195895833288
1530444300,180.19233204043883
1530444600,182.34882087516627
1530444900,170.40366443356558
1530445200,172.0059306100852
1530445500,160.0127158019952
1530445800,158.73952949164658
1530446100,160.32626334587755
1530446400,149.26396539629803
1530446700,150.71579700815371
1530447000,152.98469477627597
1530447300,144.1000526812591
1530447600,130.8114657818892
1530447900,130.69332930080037
1530448200,140.45595983091897
1530448500,127.04919465075106
1530448800,122.95816180175643
1530449100,118.92723449018817
1530449400,120.37705197946104
1530449700,125.6768208547764
1530450000,131.2943543020718
1530450300,130.05452200098608
1530450600,127.27838476810975
1530450900,125.31783300069915
1530451200,112.92724386303753
1530451500,122.41169804903224
1530451800,114.6815281456897
1530452100,108.79462279419818
1530452400,108.20198038041195
1530452700,99.54967321157457
1530453000,101.18047660595255
1530453300,96.14921548976498
1530453600,99.80470347043018
1530453900,94.88036571115842
1530454200,94.95545619170916
1530454500,101.05938355781295
1530454800,91.18135026935943
1530455100,102.52415670691245
1530455400,102.68402853963924
1530455700,101.56147937229849
1530456000,101.77880845091767
1530456300,100.90226217662642
1530456600,105.39450550928048
1530456900,97.15824369968028
1530457200,96.55929007732547
1530457500,92.11543118392193
1530457800,93.61841738514538
1530458100,94.97272758031474
1530458400,86.62585428305695
1530458700,89.1621147559761
1530459000,86.26307369490351
1530459300,92.37567599553077
1530459600,93.57265669799112
1530459900,86.12525033425874
1530460200,92.95730653923485
1530460500,90.67198068397673
1530460800,92.09024494079705
1530461100,92.70713324276245
1530461400,91.14828612714439
1530461700,91.4532647600919
1530462000,93.1740418715194
1530462300,97.73649353747106
1530462600,96.4021087917876
1530462900,94.89514524992721
1530463200,101.94655422945227
1530463500,100.9760694561602
1530463800,102.67314176927003
1530464100,100.51061366454196
1530464400,102.08410195769753
1530464700,105.82644131978925
1530465000,100.6714586895258
1530465300,97.26304551634549
1530465600,105.11182523167423
1530465900,101.14559814564893
1530466200,96.3090913316281
1530466500,101.39418754077371
1530466800,92.24855181515376
1530467100,99.45239756578594
1530467400,100.12258355733844
1530467700,101.88798942726987
1530468000,100.2635997597661
1530468300,100.26482299471193
1530468600,96.0323596263272
1530468900,96.42555728807046
1530469200,95.3826221188222
1530469500,101.45392267435975
1530469800,107.01214499576655
1530470100,121.4291761351059
1530470400,120.3625596274289
1530470700,118.67336435216738
1530471000,125.23109214802881
1530471300,125.0652383730064
1530471600,135.9231392421673
1530471900,142.8409867362706
1530472200,139.90122749295708
1530472500,148.76672287036894
1530472800,144.56751558673764
1530473100,141.03512074310018
1530473400,144.1282301237799
1530473700,146.43610760000837
1530474000,145.32669025228853
1530474300,139.49045757252196
1530474600,147.40166726973234
1530474900,148.82928842338492
1530475200,166.49739858960015
1530475500,175.3488636553214
1530475800,188.99424719650452
1530476100,191.70195820101236
1530476400,194.59322534394815
1530476700,204.24909055822621
1530477000,199.03959536828552
1530477300,206.73032425622617
1530477600,201.95699214029406
1530477900,206.00440628161667
1530478200,202.25948887127663
1530478500,211.79025797862755
1530478800,210.9117869722003
1530479100,207.23308263122078
1530479400,190.03410535354345
1530479700,199.4738414041137
1530480000,209.15901381019737
1530480300,202.53426958214283
1530480600,192.2347532390937
1530480900,193.3404390535735
1530481200,203.15141827413456
1530481500,184.3880491890147
1530481800,180.58332572311218
1530482100,179.8568380895056
1530482400,167.00210597163613
1530482700,159.47207829325603
1530483000,143.42072481809853
1530483300,133.02714551502896
1530483600,131.3077480654994
1530483900,117.79570121427305
1530484200,124.85594060774163
1530484500,114.17316897172941
1530484800,115.58127895043164
1530485100,113.3992441068045
1530485400,100.88641782975661
1530485700,90.35558225231419
1530486000,75.90670784746595
1530486300,74.08633467274588
1530486600,72.35347644078
1530486900,61.66800414488324
1530487200,62.114672462914264
1530487500,72.11357139857692
1530487800,71.47406198757704
1530488100,64.12978340536299
1530488400,73.60963062301684
1530488700,80.45129358884935
1530489000,74.21054873888524
1530489300,68.49539963525751
1530489600,67.5983045461952
1530489900,56.1459148991191
1530490200,49.60791806262334
1530490500,58.76447083984775
1530490800,65.59150415353602
1530491100,53.274781323628595
1530491400,49.02687453104313
1530491700,41.673972651627004
1530492000,45.32515316227106
1530492300,42.271779753275624
1530492600,48.67963105606871
1530492900,40.31509674692394
1530493200,37.76124064090255
1530493500,39.23334727289041
1530493800,41.057728606646975
1530494100,43.66033656752527
1530494400,43.68866495077226
1530494700,43.198172399162026
1530495000,45.05186923473097
1530495300,43.25429117710383
1530495600,40.877239342617905
1530495900,28.80615922414772
1530496200,31.595111079615474
1530496500,27.298761917226987
1530496800,28.775477565611094
1530497100,22.805294337483684
1530497400,17.317541903252597
1530497700,26.101643749483642
1530498000,23.02141921411604
1530498300,21.84198889885615
1530498600,20.001851372324772
1530498900,20.343907080201173
1530499200,25.272870940711293
1530499500,33.5795745162886
1530499800,32.313664588268345
1530500100,35.63749156316742
1530500400,42.40674023975004
1530500700,46.71755737483158
1530501000,46.6175818965447
1530501300,45.43513356724619
1530501600,48.920730554383084
1530501900,48.52684929006565
1530502200,41.93670766628131
1530502500,37.18385189144623
1530502800,44.371135266686565
1530503100,39.27430190649814
1530503400,47.57162380960527
1530503700,46.147724360917636
1530504000,47.48951273138682
1530504300,44.048396882783635
1530504600,37.70912309831021
1530504900,36.32913844833402
1530505200,43.47213304851417
1530505500,48.72806014781021
1530505800,57.576596273020215
1530506100,47.60639522475494
1530506400,34.85829874618983
1530506700,39.17412223131923
1530507000,46.07800959746797
1530507300,48.80873073620077
1530507600,51.57689483846216
1530507900,44.44573449576943
