time,kW
1514725200,66.76780767695753
1514725500,67.62876119915498
1514725800,61.94490175297778
1514726100,60.74368500521124
1514726400,61.455521441724336
1514726700,58.910563910003674
1514727000,58.53314053890747
1514727300,59.32153155378237
1514727600,59.27217540877261
1514727900,56.61369362550338
1514728200,56.545188830985666
1514728500,55.39120729872297
1514728800,58.3212173396915
1514729100,59.51507591923416
1514729400,59.06550210882562
1514729700,59.91430118521478
1514730000,62.10301463979053
1514730300,65.37220180365146
1514730600,65.5285534979221
1514730900,64.20973136644265
1514731200,62.808093587185695
1514731500,63.49974732142137
1514731800,64.38797694127649
1514732100,61.13214458770608
1514732400,60.672830153715545
1514732700,57.71426273260687
1514733000,55.355213963613316
1514733300,52.33809692176893
1514733600,50.808653453460416
1514733900,49.64010504868683
1514734200,50.766593617895204
1514734500,52.105468047264964
1514734800,53.36963924229003
1514735100,54.36666178655708
1514735400,52.06283472502675
1514735700,52.121038261433554
1514736000,50.918488854334605
1514736300,51.056901678820466
1514736600,53.085398669432976
1514736900,50.29030269326764
1514737200,48.24679835880414
1514737500,48.06537371055983
1514737800,47.7089972802126
1514738100,49.08409617512827
1514738400,50.64562114954545
1514738700,51.336356727587614
1514739000,53.84408923048081
1514739300,59.0295940830813
1514739600,57.91824405341972
1514739900,51.890935272680245
1514740200,48.45960142023093
1514740500,48.30690473214258
1514740800,50.41649996384078
1514741100,48.246149950775205
1514741400,48.84857880488759
1514741700,50.33677277456708
1514742000,47.16585546163472
1514742300,45.83652286800216
1514742600,49.07341439960946
1514742900,52.39797690308279
1514743200,55.61519387316542
1514743500,53.40643581311857
1514743800,50.73150806909372
1514744100,50.198166171103736
1514744400,50.66012369671694
1514744700,50.42292245318139
1514745000,49.28113467961368
1514745300,48.95958313432369
1514745600,48.52681552978678
1514745900,51.852396138464826
1514746200,51.465173991287486
1514746500,52.74673344517407
1514746800,54.34327790226637
1514747100,57.575210949778814
1514747400,55.03834875562035
1514747700,53.833563597989695
1514748000,53.43435950890924
1514748300,56.321565864951054
1514748600,54.550797782250996
1514748900,52.351164143025535
1514749200,50.53952703311778
1514749500,52.72029440310411
1514749800,55.776133629123905
1514750100,54.96483511618515
1514750400,62.21911784419356
1514750700,56.10984890270099
1514751000,55.533227179024145
1514751300,58.33486620404147
1514751600,54.10609183748216
1514751900,55.66605257299465
1514752200,57.18926707149426
1514752500,56.61762844637258
1514752800,57.95767172300745
1514753100,65.61161530248248
1514753400,66.40335372502469
1514753700,58.98541613752404
1514754000,63.54048150677445
1514754300,64.18844138972277
1514754600,73.35473371985293
1514754900,76.33464497847271
1514755200,69.81538400667422
1514755500,70.9728441282711
1514755800,73.81095944207271
1514756100,80.77571433083295
1514756400,80.63997242357068
1514756700,79.34183128649792
1514757000,71.93120342881171
1514757300,76.05680963988674
1514757600,74.75289203357073
1514757900,74.45605285203305
1514758200,76.67200437553679
1514758500,85.8144436205044
1514758800,83.00056958899829
1514759100,89.84992666006825
1514759400,87.47504173705896
1514759700,83.58921217553541
1514760000,83.55757636977177
1514760300,76.46096818272588
1514760600,82.65149552978066
1514760900,91.93951087010272
1514761200,93.32588067969857
1514761500,89.879376509917
1514761800,87.81542596579204
1514762100,99.40849911719134
1514762400,99.25896256418159
1514762700,97.51582163249071
1514763000,90.87711183799543
1514763300,99.35266287996133
1514763600,104.52014748615564
1514763900,103.54765245766383
1514764200,104.61541074403031
1514764500,105.97710931622423
1514764800,101.08160959957354
1514765100,95.32993257484142
1514765400,102.55933815708069
1514765700,115.34119747913172
1514766000,108.03347148548262
1514766300,120.38374292705964
1514766600,127.53164590590922
1514766900,120.80621957494522
1514767200,120.7680647225492
1514767500,124.20250286680422
1514767800,122.27367659677637
1514768100,124.20250093011775
1514768400,117.01338659128218
1514768700,106.76007920485138
1514769000,116.7243687478783
1514769300,114.51162411058598
1514769600,119.27148523910515
1514769900,120.59347633148579
1514770200,119.56111813899322
1514770500,116.77921314949282
1514770800,117.212735093359
1514771100,126.47376654496564
1514771400,124.04675942996016
1514771700,127.43076561385793
1514772000,129.2059234934919
1514772300,129.39383747833787
1514772600,121.30913440437286
1514772900,126.22206061302299
1514773200,117.49006206188395
1514773500,125.49914526888479
1514773800,119.96317090422436
1514774100,115.52449916123213
1514774400,117.93269164573525
1514774700,126.64414733034859
1514775000,125.90330490684858
1514775300,124.01870831193693
1514775600,118.5254363972328
1514775900,131.81442538986735
1514776200,137.56473333927738
1514776500,124.95433070005433
1514776800,120.10081419141589
1514777100,129.6143737614532
1514777400,128.2192247176521
1514777700,127.26468505252836
1514778000,123.93756328009603
1514778300,121.57068283232715
1514778600,125.8612706093309
1514778900,135.02352837699559
1514779200,138.85341461846983
1514779500,148.2759957459943
1514779800,150.79722635453902
1514780100,150.98349877290724
1514780400,144.14740334900944
1514780700,146.75848295313781
1514781000,153.2606584296018
1514781300,151.5686901352949
1514781600,160.3405278769918
1514781900,170.70016387801942
1514782200,172.16762619053281
1514782500,163.9805094568445
1514782800,162.72851390843113
1514783100,165.24010407504704
1514783400,163.26580644682676
1514783700,160.7085884389208
1514784000,160.03063787406728
1514784300,155.2252734275817
1514784600,153.9185248723594
1514784900,152.36910576007406
1514785200,151.14451768618073
1514785500,162.41375861463138
1514785800,160.88615182638208
1514786100,147.04112994717715
1514786400,156.30840047374215
1514786700,158.98522133493884
1514787000,151.82784730681186
1514787300,150.61040451102681
1514787600,157.30964621194363
1514787900,161.90242431903243
1514788200,164.578166332649
1514788500,160.3729048333628
1514788800,174.85829590648115
1514789100,170.54853164788994
1514789400,165.42494948028738
1514789700,177.16880876781156
1514790000,181.166631325492
1514790300,176.74569648594897
1514790600,173.95457266492903
1514790900,169.95829482256164
1514791200,169.16457547330592
1514791500,168.77489313787436
1514791800,181.96335721806926
1514792100,171.37373931845175
1514792400,165.7627868383419
1514792700,167.2026587563713
1514793000,173.52626115784517
1514793300,160.69680156760566
1514793600,160.79792309125992
1514793900,154.72717115367902
1514794200,148.44707820236405
1514794500,143.42389196625206
1514794800,145.9875458738195
1514795100,140.54617629387707
1514795400,134.35405570640214
1514795700,135.7474138440311
1514796000,136.06022858346526
1514796300,138.7308035140023
1514796600,137.85218347230412
1514796900,131.29953451454674
1514797200,135.24707955454497
1514797500,139.4162825900193
1514797800,140.3658107148131
1514798100,130.20125267437155
1514798400,129.40761384002667
1514798700,133.20349261598213
1514799000,133.8012569913978
1514799300,132.78466075838116
1514799600,121.35595314734499
1514799900,118.93594006611099
1514800200,113.12417864436323
1514800500,107.72546930464706
1514800800,100.99633681450089
1514801100,98.29104142083963
1514801400,94.29444412945483
1514801700,93.82704532899511
1514802000,102.6705574819586
1514802300,100.64097223106955
1514802600,100.80424994705882
1514802900,94.52448560299693
1514803200,100.43701919313989
1514803500,91.89584628318232
1514803800,94.57712670314898
1514804100,97.51087976720079
1514804400,92.48746580487887
1514804700,98.264121072381
1514805000,101.24666496332704
1514805300,104.72092007663016
1514805600,92.76090203304203
1514805900,81.68037040220919
